"uniqueid","parentid","lctype","title","description","startdate","enddate"
"28617657002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Tuesday wk2","","",""
"28617672002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Tuesday 5-7 wk2","","",""
"28617857002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Tuesday Wk 2 7-9","","",""
"28618801002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Assessment Wed Week 2","","",""
"28618805002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Assessment Thurs Week 2","","",""
"28618809002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Assessment Friday Week 2","","",""
"28618857002","URN:X-WEBCT-VISTA_V2:6246BC52215DE208E040007F010075D0","C","Assessment Wed Wk 2 G2","","",""
"2L.default","0000","C","Level 2 Template","","",""
"3L.default","0000","C","Level 3 Template","","",""
"4L.default","0000","C","Level 4 Template","","",""
"5L.default","0000","C","Level 5 Template","","",""
"ACCT1002","","C","ACCT1002 - Introduction to Financial Accounting","","",""
"ACCT1002.200410","ACCT1002","S","(2004 - 2005, Semester 1)","","",""
"ACCT1002.200420","ACCT1002","S","(2004 - 2005, Semester 2)","","",""
"ACCT1002.200510","ACCT1002","S","(2005 - 2006, Semester 1)","","",""
"ACCT1002.200520","ACCT1002","S","(2005 - 2006, Semester 2)","","",""
"ACCT1002.200530","ACCT1002","S","(2005 - 2006, Summer)","","",""
"ACCT1002.200610","ACCT1002","S","(2006 - 2007, Semester 1)","","",""
"ACCT1002.200620","ACCT1002","S","(2006 - 2007, Semester 2)","","",""
"ACCT1002.200630","ACCT1002","S","(2006 - 2007, Summer)","","",""
"ACCT1002.200710","ACCT1002","S","(2007 - 2008, Semester 1)","","",""
"ACCT1002.200720","ACCT1002","S","(2007 - 2008, Semester 2)","","",""
"ACCT1002.200730","ACCT1002","S","(2007 - 2008, Summer)","","",""
"ACCT1002.200810","ACCT1002","S","(2008 - 2009, Semester 1)","","",""
"ACCT1002.200820","ACCT1002","S","(2008 - 2009, Semester 2)","","",""
"ACCT1003","","C","ACCT1003 - Introduction to Cost and Management Accounting","","",""
"ACCT1003.200510","ACCT1003","S","(2005 - 2006, Semester 1)","","",""
"ACCT1003.200520","ACCT1003","S","(2005 - 2006, Semester 2)","","",""
"ACCT1003.200610","ACCT1003","S","(2006 - 2007, Semester 1)","","",""
"ACCT1003.200620","ACCT1003","S","(2006 - 2007, Semester 2)","","",""
"ACCT1003.200710","ACCT1003","S","(2007 - 2008, Semester 1)","","",""
"ACCT1003.200720","ACCT1003","S","(2007 - 2008, Semester 2)","","",""
"ACCT1003.200810","ACCT1003","S","(2008 - 2009, Semester 1)","","",""
"ACCT1003.200820","ACCT1003","S","(2008 - 2009, Semester 2)","","",""
"ACCT2014","","C","ACCT2014 - Intermediate Accounting I","","",""
"ACCT2014.200610","ACCT2014","S","(2006 - 2007, Semester 1)","","",""
"ACCT2014.200710","ACCT2014","S","(2007 - 2008, Semester 1)","","",""
"ACCT2014.200810","ACCT2014","S","(2008 - 2009, Semester1)","","",""
"ACCT2015","","C","ACCT2015 - Financial Accounting 2","","",""
"ACCT2015.200620","ACCT2015","S","(2006 - 2007, Semester 2)","","",""
"ACCT2015.200720","ACCT2015","S","(2007 - 2008, Semester 2)","","",""
"ACCT2015.200730","ACCT2015","S","(2007 - 2008, Summer)","","",""
"ACCT2015.200820","ACCT2015","S","(2008 - 2009, Semester 2)","","",""
"ACCT2017","","C","ACCT2017 - Management Accounting","","",""
"ACCT2017.200810","ACCT2017","S","(2008 - 2009, Semester 1)","","",""
"ACCT2018","","C","ACCT2018 - Government Accounting","","",""
"ACCT2018.200420","ACCT2018","S","(2004 - 2005, Semester 2)","","",""
"ACCT2018.200520","ACCT2018","S","(2005 - 2006, Semester 2)","","",""
"ACCT2018.200620","ACCT2018","S","(2006 - 2007, Semester 2)","","",""
"ACCT2018.200820","ACCT2018","S","(2008 - 2009, Semester 2)","","",""
"ACCT2019","","C","ACCT2019 - Accounting for Managers","","",""
"ACCT2019.200510","ACCT2019","S","(2005 - 2006, Semester 1)","","",""
"ACCT2019.200710","ACCT2019","S","(2007 - 2008, Semester 1)","","",""
"ACCT2019.200810","ACCT2019","S","(2008 - 2009, Semester 1)","","",""
"ACCT3015","","C","ACCT3015 - Accounting Information Systems","","",""
"ACCT3015.200720","ACCT3015","S","(2007 - 2008, Semester 2)","","",""
"ACCT3015.200820","ACCT3015","S","(2008 - 2009, Semester 2)","","",""
"ACCT3039","","C","ACCT3039 - Cost  and Management Accounting II","","",""
"ACCT3039.200720","ACCT3039","S","(2007 - 2008, Semester 2)","","",""
"ACCT3039.200820","ACCT3039","S","(2008 - 2009, Semester 2)","","",""
"ACCT3040","","C","ACCT3040 - Advanced Accounting Theory","","",""
"ACCT3040.200620","ACCT3040","S","(2006 - 2007, Semester 2)","","",""
"ACCT3040.200720","ACCT3040","S","(2007 - 2008, Semester 2)","","",""
"ACCT3040.200820","ACCT3040","S","(2008 - 2009, Semester 2)","","",""
"ACCT3041","","C","ACCT3041 - Advanced Financial Acccounting","","",""
"ACCT3041.200410","ACCT3041","S","(2004 - 2005, Semester 1)","","",""
"ACCT3041.200510","ACCT3041","S","(2005 - 2006, Semester 1)","","",""
"ACCT3041.200610","ACCT3041","S","(2006 - 2007, Semester 1)","","",""
"ACCT3041.200710","ACCT3041","S","(2007 - 2008, Semester 1)","","",""
"ACCT3041.200810","ACCT3041","S","(2008 - 2009, Semester 1)","","",""
"ACCT3043","","C","ACCT3043 - Principles of Auditing","","",""
"ACCT3043.200410","ACCT3043","S","(2004 - 2005, Semester 1)","","",""
"ACCT3043.200510","ACCT3043","S","(2005 - 2006, Semester 1)","","",""
"ACCT3043.200610","ACCT3043","S","(2006 - 2007, Semester 1)","","",""
"ACCT3043.200710","ACCT3043","S","(2007 - 2008, Semester 1)","","",""
"ACCT3043.200810","ACCT3043","S","(2008 - 2009, Semester 1)","","",""
